GeneSymbol	t0.5h	t1h	t2h	t4h	t8h	t48h
Nr4a1	4.13926434257925	4.69529025137261	4.55728594224943	4.11275815496916	3.40809551622921	2.45373730942147
Fos	4.38922480214615	4.09388508829956	1.80674962631788	1.26716364701076	0.835279570905714	0.527250609341424
Btg2	3.9899894562752	3.99580010347893	1.64588983271994	0.713926626373224	-0.619537647806762	-0.414511994887947
Ptgs2	4.33771233609602	5.46061109979884	4.64203455896066	3.09875860997023	1.36700114259034	0.738209774594177
Rgs2	2.82214295164858	3.37626283316441	3.52340023356711	3.30307174189426	2.61063857978842	2.79897201004656
Zfp36	3.45402587382139	3.32630680536259	2.77987401216473	2.10539888654794	1.57556078440087	1.35153916983056
Egr1	3.15904308973174	3.27089143802322	2.15132879547619	1.50678265738801	-0.296927009475262	0.349982570343519
Ier2	3.32722305039074	3.0681734096541	1.67341592848757	1.47927886882254	1.17846552749471	0.898015820173897
Dusp1	3.21636669434837	3.43515697917748	3.49204429026252	3.30950744493563	2.97552830342322	1.94315567409223
Cebpd	2.39309062182252	2.56604938364136	2.20701096355346	1.59948519126089	0.653501209706633	0.86643252289246
Fosb	3.02723734606973	3.85439845818939	1.83298800791058	0.13027020527076	0.156869362225841	0.159738137990226
n-R5s54	2.70608005063967	3.23330229273872	3.66950465729581	3.03634591013359	2.86672112219481	2.05477859248829
Snord14e	2.3504134883779	1.2663801097229	1.78063925538696	1.38188973514571	1.2954569533376	0.914260283315981
Dusp5	1.96331306266676	2.69200631218918	2.29380660881598	1.59311240899594	0.854975354759469	-0.229531208781628
Cyr61	2.81224295901286	2.98450972411649	2.34541616238936	2.29962210478512	0.9767546744827	-0.706758683686605
Egr2	3.21875209095906	4.47743803553937	3.36209075921724	1.89022959261761	0.344905189551942	2.35706138938832
Dusp6	2.41147582130949	2.73601414108909	2.99154732472142	3.28850855454619	2.41938929862708	1.30295184680513
Junb	2.45764010513201	2.7532554916182	1.95497635195434	1.54175480414826	0.983458081725107	0.480353779163098
Cxcl1	2.4883428868824	2.21408460502343	1.56733376604904	0.687955843133832	0.526332718932345	-0.339640057771335
1810011O10Rik	2.51725861785735	3.70986852549306	5.20548499576043	5.42289877821168	4.17785910361813	3.17229703654137
Snord14d	2.22844814376157	1.12615215158284	1.44008496857779	1.07552989302578	1.1380096759894	0.818239232196701
Errfi1	1.68131763512287	2.0447228993753	1.93590666535723	1.89308559173893	1.58361639563987	1.39611607635606
Il6	2.42628909195104	4.11844193832061	2.0435072574306	1.01610619137107	0.656462907312233	0.348379136865846
Adm	1.6537323344937	2.21943368411838	1.42422346200178	-0.787997151258592	-1.7523193562908	-2.85472341784571
Mir145a	2.0054489337589	0.203665841260856	0.407017495003874	0.647992483272175	-0.271924555980219	-1.05012678942389
Id3	1.84178106643539	2.12309818778878	1.20915468830132	0.548814052240706	0.422603245176816	-1.69438319737198
Nfil3	1.73821806677007	3.3621899915675	3.69039882535515	3.27384550871067	3.17731442724609	2.3319737408148
Gadd45g	1.78173682244382	2.38360387537577	2.96256980963868	2.70139731678499	1.79594261414775	1.93824959425964
Phlda1	1.68156920030147	2.75869615195773	2.93514760422788	2.49349501813099	1.2389477291878	0.0267117659524612
Mir199b	-2.18738417685203	-1.07687197753984	-0.721151301699376	-0.289360535244858	-0.314649135227462	-1.19637838544841
Spry2	1.87970666711563	2.63266831717375	1.56731522883541	0.631736711340851	-0.0368377683044638	0.14510536340784
Arl4d	1.90383491820634	2.64160281047911	2.51235050702033	2.42789811648648	2.12116814921737	0.253066317658484
Ppp1r15a	1.33319939041673	2.11890289242467	0.612046781839792	0.798868475156688	0.749179818707221	0.449104836215513
Mir130a	-1.60063739439386	-1.73357739580209	-1.92001633274094	-1.38523115763105	-1.59507925356765	-1.55547093241582
Gm22107	1.688842275303	0.631053576318022	0.383843233629074	-0.0998060962678071	-0.701195123124068	-1.32491555780623
Nfkbiz	2.06073889745403	2.03207823249767	1.90537043079701	1.72158796815738	1.13508675731055	1.0950070893545
Serpine1	2.07053049129452	3.31161196624415	3.88748384656445	3.80013795012581	3.58974435915319	1.7375997426528
Ccl7	1.36637866759589	1.54986413825953	1.22995709776264	0.647978085413012	-0.583234118797961	-1.79302120535784
Mt1	1.32480806932497	2.13011851510678	2.58820756399027	2.76246743572253	2.67354129790197	1.91171656603591
Foxc2	1.45426996379031	2.8917614517038	2.79187075306419	2.00886872598226	1.38285489012314	1.23341909116697
Ier3	1.47351327690435	2.76757793538875	3.31444274616435	2.60400841163384	1.86376274973387	-0.246211122469092
C030016D13Rik	-1.78512552620781	-1.57499281123038	-1.14470383709566	-0.770924569185853	-0.838748613099305	-0.123771123460379
Per1	1.14827597522955	1.95705248184525	1.63400165423134	1.34927380407532	1.46814139458859	0.559853184083746
